"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.295361708E0,1.134821036E-1,-8.305063516E-2,-1.456787002E-1
2.305317708E0,5.139161691E-2,-5.448552489E-2,-2.431675726E-1
2.315273708E0,-1.072503604E-2,-2.275736332E-3,-1.618076599E-1
2.325229708E0,-2.359472115E-2,-2.099793613E-2,-1.915781736E-2
2.335185708E0,5.908867233E-2,-5.398792684E-2,5.792895019E-2
2.345141708E0,9.814993668E-2,-5.192736804E-2,5.331608176E-2
2.355097708E0,7.554123882E-2,-4.866666824E-2,-1.122548461E-2
2.365053708E0,6.031519890E-2,-6.576363444E-3,-8.512142658E-2
2.375009708E0,3.639493402E-2,3.291748524E-2,-1.432860196E-1
2.384965708E0,3.729789030E-2,5.573565960E-2,-1.524573773E-1
2.394920708E0,4.944935460E-2,6.037951827E-2,-9.850921154E-2
2.404876708E0,1.943395212E-2,2.915714085E-2,-2.563419342E-3
2.414832708E0,5.033977591E-3,7.779428065E-3,6.355689526E-2
2.424788708E0,2.017157838E-2,-1.906075358E-2,1.352513605E-1
2.434744708E0,2.656952865E-2,-3.785078108E-2,1.905438012E-1
2.444700708E0,2.783716846E-2,-2.150781333E-2,2.308141601E-1
2.454656708E0,7.744925838E-2,-4.799219191E-2,2.095618701E-1
2.464612708E0,9.214554057E-2,-7.132199764E-2,1.774302506E-1
2.474568708E0,7.936290588E-2,-4.348983586E-2,1.422072083E-1
2.484524708E0,6.616511889E-2,-2.591193616E-3,1.114040762E-1
2.494480708E0,2.919628065E-2,2.789355755E-2,1.109579337E-1
2.504436708E0,-1.175915267E-2,3.415855676E-2,7.429881513E-2
2.514391708E0,2.200051434E-3,1.298140347E-2,2.080030024E-2
2.524347708E0,3.800843664E-2,-2.714569867E-3,2.151073694E-2
2.534303708E0,4.330586784E-2,2.650864452E-2,5.828387618E-2
2.544259708E0,6.199641958E-2,2.482961655E-2,1.109485781E-1
2.554215708E0,7.250152722E-2,-2.852271795E-3,1.511166108E-1
2.564171708E0,9.568423893E-2,-2.007349133E-2,1.548418719E-1
2.574127708E0,1.131526130E-1,-2.827771962E-2,1.176453942E-1
2.584083708E0,1.044546970E-1,-3.733417958E-2,9.036287069E-2
2.594039708E0,7.907814648E-2,-4.107902884E-2,5.591809273E-2
2.603995708E0,5.598197356E-2,-3.631384045E-2,-1.800299227E-2
2.613951708E0,4.147514116E-2,-2.305937201E-2,-2.634463012E-2
2.623907708E0,1.560585313E-3,-2.922175258E-2,2.070908368E-2
2.633863708E0,2.332311798E-2,-3.756455988E-2,4.396872282E-2
2.643818708E0,4.366415597E-2,-3.822646469E-2,3.993706763E-2
2.653774708E0,3.753247328E-2,-6.029005587E-2,7.286975563E-2
2.663730708E0,3.277514208E-2,-1.753667682E-2,7.289957643E-2
2.673686708E0,4.612269089E-2,-7.575944960E-3,4.207480967E-2
2.683642708E0,4.194065262E-2,-6.663486958E-3,1.740423739E-2
2.693598708E0,4.842349716E-2,-1.111935765E-2,3.136738837E-2
2.703554708E0,7.745236471E-2,-1.867659152E-2,5.649228930E-2
2.713510708E0,1.164275288E-1,-5.040007532E-3,9.124696970E-2
2.723466708E0,8.968031790E-2,-3.900268257E-2,9.945646048E-2
2.733422708E0,5.152515270E-2,-3.910559356E-2,6.239212990E-2
2.743378708E0,4.130440246E-2,-5.200162768E-2,3.330632508E-2
2.753334708E0,4.669495057E-2,-3.362002820E-2,4.707008600E-2
2.763290708E0,5.399560131E-2,-1.662129521E-2,-1.485192776E-4
2.773245708E0,7.860583764E-2,2.091636747E-2,-3.297361851E-2
2.783201708E0,7.927015442E-2,2.083567590E-2,-4.020370066E-2
2.793157708E0,5.463989139E-2,-6.693015397E-3,1.713409603E-2
2.803113708E0,5.864289522E-2,2.582422793E-3,2.709131956E-2
2.813069708E0,7.250266012E-2,-4.559366405E-3,4.557729185E-2
2.823025708E0,3.969649125E-2,-9.083941877E-3,7.611554503E-2
2.832981708E0,4.230855212E-2,-1.586554259E-2,8.196100652E-2
2.842937708E0,5.677639090E-2,-3.011520714E-2,1.322686958E-1
2.852893333E0,7.227414362E-2,-4.498029113E-2,1.684460038E-1
2.862849333E0,8.270868268E-2,-4.261801600E-2,1.538086689E-1
2.872805333E0,8.055369135E-2,-3.671174347E-2,1.512815022E-1
2.882761333E0,5.394812923E-2,-3.367733091E-2,1.312805164E-1
2.892716333E0,5.195108581E-2,-3.245321631E-2,1.015737373E-1
2.902672333E0,7.433272898E-2,-1.248439014E-2,6.107650638E-2
2.912628333E0,8.454785127E-2,7.734696865E-3,3.654158950E-2
2.922584333E0,5.434354719E-2,6.098645926E-4,2.221064866E-2
2.932540333E0,3.134886000E-2,-1.949403226E-2,-3.362733722E-3
2.942496333E0,4.444826759E-2,-1.554511517E-2,1.011860669E-2
2.952452333E0,6.982799750E-2,-2.644461751E-2,-3.897753954E-3
2.962408333E0,6.876325607E-2,-3.805864960E-2,-1.204584897E-2
2.972364333E0,5.867965959E-2,-4.413683027E-2,9.140367508E-3
2.982320333E0,5.444733527E-2,-2.758599401E-2,4.235898435E-2
2.992276333E0,5.756039288E-2,-2.689689964E-2,4.135501742E-2
3.002232333E0,7.951734547E-2,1.766882390E-2,4.537322402E-2
3.012188333E0,8.927824873E-2,1.052820414E-2,3.959032774E-2
3.022143333E0,7.021581408E-2,1.344333351E-2,7.299137771E-2
3.032099333E0,6.747346994E-2,7.697859406E-3,1.153357440E-1
3.042055333E0,5.189433128E-2,-1.476597369E-2,1.315816480E-1
3.052011333E0,2.481960319E-2,-2.888758421E-2,6.935499430E-2
3.061967333E0,2.921656318E-2,-4.214965403E-2,3.344724298E-2
3.071923333E0,4.452965353E-2,-6.427727222E-2,4.086969852E-2
3.081879333E0,5.448256474E-2,-2.551607966E-2,3.881381750E-2
3.091835333E0,3.418428451E-2,-3.678483367E-3,3.593698740E-3
3.101791333E0,5.719015449E-2,-2.170866519E-2,7.180380821E-4
3.111747333E0,8.423520796E-2,-2.825433075E-2,1.145352602E-2
3.121703333E0,9.756229151E-2,-2.176216722E-2,5.500124931E-2
3.131659333E0,1.012037181E-1,-1.347081542E-2,9.639778197E-2
3.141615333E0,1.162979399E-1,4.479551911E-3,1.258227253E-1
3.151571333E0,1.111990948E-1,-7.221311331E-5,1.699428910E-1
3.161526333E0,1.370185718E-1,3.472661376E-3,1.794200581E-1
3.171482333E0,7.506213259E-2,2.265796065E-4,1.976516765E-1
3.181438333E0,6.306328062E-2,-5.312780142E-3,1.609071887E-1
3.191394333E0,4.919434290E-2,-2.204049468E-2,8.847071171E-2
3.201350333E0,6.230032861E-2,-3.211729378E-2,4.247300506E-2
3.211306333E0,4.295821432E-2,-2.493340462E-2,7.202190936E-2
3.221262333E0,5.287973329E-2,1.871401370E-3,7.601672709E-2
3.231218333E0,5.430057015E-2,-2.570143640E-3,8.942965508E-2
3.241174333E0,1.303600185E-3,-6.226933837E-2,1.237732762E-1
3.251130333E0,3.901185539E-2,-5.789298981E-2,1.690202004E-1
3.261086333E0,2.850104671E-2,-4.942505211E-2,1.829172778E-1
3.271042333E0,7.858222950E-2,-1.820208997E-2,1.225342512E-1
3.280998333E0,5.698594049E-2,-2.918140680E-2,8.858882546E-2
3.290953333E0,8.528763369E-2,-9.905768037E-3,5.617887855E-2
3.300909333E0,4.800070692E-2,-3.881674111E-3,8.477994919E-2
3.310865333E0,-1.571417280E-2,-4.367577732E-2,1.444174558E-1
3.320821333E0,6.084546827E-2,-4.694320142E-2,1.544430918E-1
3.330777333E0,7.032665536E-2,-1.774600714E-2,1.249099749E-1
3.340733333E0,1.056697849E-2,-5.167652249E-2,4.383657575E-2
3.350689333E0,6.583336249E-2,-2.184987545E-2,-1.392982185E-2
3.360645333E0,6.175017871E-2,1.297789514E-3,-3.310810447E-2
3.370601333E0,6.590663541E-2,4.894119501E-4,-3.589196384E-2
3.380557333E0,4.842919819E-2,1.101030707E-3,-8.369704485E-3
3.390513333E0,3.044477083E-2,-3.522041112E-2,2.981378317E-2
3.400469333E0,3.051120982E-2,-9.534089774E-2,4.202101529E-2
3.410425333E0,9.986554630E-2,-3.205735981E-2,8.898935974E-2
3.420381333E0,5.496349823E-2,-5.187123477E-2,9.910855114E-2
3.430336333E0,7.023584079E-2,-4.625498414E-2,5.495564103E-2
3.440292333E0,5.128421087E-2,-5.853325993E-2,6.427493334E-2
3.450248333E0,5.231927767E-2,-5.541523218E-2,3.710993886E-2
3.460204333E0,5.316131327E-2,-5.959569901E-2,-2.905481458E-3
3.470160333E0,8.105125286E-2,-2.189022124E-2,2.351165414E-3
3.480116333E0,5.635849770E-2,-1.898181617E-2,3.541541576E-2
3.490072333E0,3.655580554E-2,-4.771912694E-2,2.824029744E-2
3.500028333E0,2.466183800E-2,-5.949103385E-2,4.223560810E-2
3.509984333E0,3.912587609E-2,-5.908523709E-2,8.289129853E-2
3.519940333E0,7.080258217E-2,-4.392106801E-2,6.530579746E-2
3.529896333E0,6.939943314E-2,-1.778635293E-2,2.978337765E-2
3.539852333E0,-1.232812330E-3,-3.582296669E-2,-4.085449576E-3
3.549808333E0,2.711280808E-2,-4.721129626E-2,-1.558341444E-2
3.559764333E0,3.002066497E-2,-4.049664617E-2,2.525587857E-2
3.569719333E0,9.727888428E-2,-1.487648606E-2,2.935243785E-2
3.579675333E0,8.821131460E-2,-2.523570567E-2,7.951394677E-2
3.589631333E0,4.359468374E-2,-6.422932506E-2,1.793335193E-1
3.599587333E0,2.749196347E-2,-9.474565119E-2,2.986383533E-1
3.609543333E0,-2.533594888E-2,-1.484195825E-1,3.202794832E-1
3.619499333E0,-1.121942909E-1,-1.760432911E-1,2.340997106E-1
3.629455333E0,-1.819846104E-1,-1.533286124E-1,2.918900818E-1
3.639411333E0,-2.259910477E-1,-6.077040464E-2,9.626271129E-3
3.649367333E0,-3.813197003E-1,3.423106223E-2,-6.961034220E-1
3.659323333E0,-7.313156471E-1,1.069835812E-2,-9.301113313E-1
3.669279333E0,-8.671289250E-1,-6.714503914E-2,-6.118725264E-1
3.679235333E0,-4.618489795E-1,-2.928420085E-1,1.596278179E-1
3.689191333E0,1.949981918E-1,-7.071640152E-1,8.347935301E-1
3.699146333E0,4.831033526E-2,-1.039002274E0,1.067951839E0
3.709102333E0,-4.392676905E-1,-9.536887667E-1,7.858026338E-1
